username,comment,videoid,title,views,likes,dislikes,polarity,label
UnderTails,This was only made 3 years ago but it already feels incredibly nostalgic.,Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,-0.25,negative
629,"Looking back, this was actually a masterpiece

Edit: for those of you who say that 2015, 2014, etc. was better, i think so too, i was just saying that this was way better than recent rewinds.",Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.2,positive
TaejinTM,It’s crazy how PewDiePie has more subs than YouTube themselves.,Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,-0.04999999999999999,negative
Najeeba Aslam,"If pewdiepie and minecraft is not in youtube rewind 2019, I swear I-",Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.0,neutral
Farida Farrag,Use me as a “I miss when YouTube made rewinds like these”,Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.0,neutral
Lanah Arioka,"I swear if Mr beast and his trees are not included in 2019 YouTube rewind, imma–",Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.0,neutral
Joy Hermann,"2016 sorry
2017 despacito
2018 fortnight 
2019 sorry no more to many dislikes",Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,-0.1875,negative
Astro naughty,"2016 me: That’s it?
2019 me: Okay, This was actually the best.",Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.5,positive
Mhd111 Mhd,I wanna cry watching this.... :( i dont know why but 2016 was the best year ever and best year in my life...,Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.4166666666666667,positive
Mrs. No Name Kid,This is probably the last good YouTube Rewind,Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.35,positive
Matthew Jackson,"I think everyone can agree that if pewdiepie is not in 2019 YouTube rewind, youtube will crash and never work again. Edit:(Btw this comment is 1 month old so know i didn't know that pewds would be in it)",Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.1,positive
Andrew Dele-Lawal,"The future is gonna be great 
2019: Surprised pikachu face😮",Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.3,positive
Street Smart,"If mr beast and pewdiepie aren't in rewind 2019 I'll move to Mars

Edit thanks for all the likes if this was subscribers it would change my life😂",Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.2,positive
No scoping nutcase 65,Everyone prepare your disliking fingers for 2019 cuz it’s gonna be a merry cringemas,Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.0,neutral
Zeeshan,"Who’s here after being disappointed watching 2018, and went to 2017 disappointed again?",Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,-0.75,negative
iggiplazer,"2010: oh a new thing c o o l
2011: oh again this is actually nice
2012: thanks youtube!
2013: i hope they never stop
2014: they are getting EVEN BETTER!
2015: WOW!
2016: cool
2017: u h h sure! its nice!
2018: please stop
2019: just, why",Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.43267045454545455,positive
Alexander Titov,This is even better than 2019 rewind,Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.5,positive
Sports HDッ,This is how many people want Pewdiepie to be  in the Yt rewind 2019,Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.5,positive
Fifa 20 TIPS,If they don't have an Endgame moment with YouTubers in 2019 imma cry,Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.0,neutral
Rex,Shush,Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.0,neutral
kawaiikalen,im scared for what's going to be in youtube rewind 2019,Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.0,neutral
gtm 19,Alguien del 2020 que piense que este fue un buen rewind y no como el del 2019?:u,Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.0,neutral
Hello There,"Noone:







Everyone in the comments: if [*insert name here*] isnt in yt rewind ill...",Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,-0.5,negative
PiGaming,"Youtube Rewind 2018: Exists
Youtube: ""Is it too late to say sorry now""",Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,-0.4,negative
Rozmarin,When youtube rewind was ok.,Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.5,positive
Katie Creates,Can we just talk about how happy the PPAP guy looked to be there,Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.8,positive
saad bin zia,Why the hell was 2019s rewind not like this !!!!,Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.0,neutral
Help me get to 500 subs plz,If ksi and Logan Paul are in 2019 rewind because of boxing.,Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.0,neutral
sir drew,Will never forget how lilly absolutely stole the light from everyone in this,Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.30000000000000004,positive
TheViktor,"Everyone: YouTube Rewind 2019 is trash
Youtube: Recommends 2016 Rewind",Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.0,neutral
PROT9N,"Me in 2016: I can't wait to watch next year's rewind.
Me in 2019: The old days were better",Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.19999999999999998,positive
Shiru Otakuno,"""Those were the glory days...""",Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.0,neutral
sunshine hope,"""dAmN Daniel"" nostalgia hitz me",Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.0,neutral
Dinesh Thakur,Anyone here cus it's way better than the 2018  ?,Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.5,positive
urmom,They should’ve put “Sorry” in YouTube rewind 2019,Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,-0.5,negative
Reversed Music,Porque no han podido hacer esto en el 2019???,Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.0,neutral
Han Solo,I bet 2019 rewind won’t have pewdiepie but have T-Series,Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.0,neutral
TheSlayer150,"Searched up “Best YouTube Rewind” and this popped up. I’m not even mad, compared to this years shittest one.",Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.1875,positive
pumpkin 99997,Back when they used Youtubers that people knew existed,Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.0,neutral
Huzzi 981,Just reminiscing the good old days before 2019 rewind comes out,Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.39999999999999997,positive
Fandom Stuff,1:07 I never really realized that Scott sterling was here lol ( ik his Name is Matt),Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.35000000000000003,positive
Holly,"2019... The year of Tik Tok, VSCO girls, Area 51, the bottle cap challenge, ""thank u next"" and of course the end of a decade. Can't wait for the next YouTube Rewind......... 😐",Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.0,neutral
тυ тισ εяιcк,Se que buscabas un comentario en español :v,Rewind 2016,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,236654813,3904159,563822,0.0,neutral
